id,movie_id,actor_id,role_name,screen_time
1,84,283,Lead,30
2,123,201,Hero,74
3,338,99,Antagonist,80
4,71,99,Antagonist,69
5,192,220,Villain,68
6,931,145,Mentor,72
7,941,268,Hero,120
8,145,153,Antagonist,92
9,635,64,Love Interest,71
10,511,274,Supporting,97
11,222,110,Love Interest,20
12,808,252,Cameo,30
13,781,67,Hero,71
14,162,116,Love Interest,28
15,721,235,Antagonist,44
16,95,105,Hero,65
17,51,191,Antagonist,41
18,826,145,Lead,107
19,949,172,Protagonist,67
20,331,181,Villain,28
21,303,58,Villain,58
22,855,21,Mentor,9
23,816,81,Protagonist,79
24,629,61,Protagonist,91
25,108,7,Mentor,115
26,101,242,Hero,63
27,527,290,Comic Relief,68
28,769,183,Villain,93
29,392,6,Lead,40
30,854,161,Protagonist,48
31,511,145,Cameo,68
32,883,190,Villain,64
33,220,233,Villain,26
34,925,204,Love Interest,116
35,354,103,Mentor,23
36,262,160,Protagonist,77
37,973,244,Supporting,25
38,940,82,Comic Relief,80
39,323,38,Protagonist,88
40,909,124,Comic Relief,81
41,167,24,Lead,79
42,99,74,Antagonist,96
43,826,262,Antagonist,35
44,885,160,Lead,22
45,616,249,Lead,70
46,945,295,Antagonist,35
47,520,242,Lead,60
48,680,134,Lead,14
49,211,253,Protagonist,75
50,589,201,Mentor,76
51,830,67,Comic Relief,112
52,228,252,Comic Relief,82
53,130,135,Comic Relief,13
54,7,170,Love Interest,85
55,615,125,Supporting,74
56,930,12,Protagonist,90
57,308,249,Love Interest,41
58,27,168,Lead,107
59,758,168,Supporting,47
60,600,140,Love Interest,6
61,419,32,Villain,47
62,430,83,Mentor,6
63,913,198,Supporting,7
64,673,186,Lead,12
65,790,51,Mentor,108
66,108,187,Villain,61
67,153,285,Supporting,64
68,495,135,Lead,76
69,630,286,Hero,44
70,485,296,Mentor,51
71,673,109,Supporting,105
72,697,61,Antagonist,99
73,880,149,Antagonist,100
74,66,216,Protagonist,32
75,764,125,Love Interest,72
76,134,267,Hero,35
77,396,237,Lead,10
78,608,234,Protagonist,113
79,108,283,Hero,58
80,565,71,Hero,92
81,910,252,Antagonist,67
82,950,50,Love Interest,91
83,555,280,Mentor,110
84,192,100,Lead,92
85,450,175,Antagonist,111
86,485,282,Comic Relief,110
87,666,49,Comic Relief,45
88,881,284,Protagonist,17
89,762,101,Lead,9
90,750,105,Cameo,26
91,23,209,Protagonist,56
92,183,12,Comic Relief,88
93,439,250,Cameo,83
94,997,257,Villain,58
95,799,44,Love Interest,85
96,313,43,Lead,28
97,878,258,Cameo,81
98,413,104,Hero,92
99,5,91,Comic Relief,44
100,776,79,Hero,11
101,237,39,Antagonist,18
102,644,83,Cameo,100
103,442,162,Hero,15
104,717,227,Mentor,27
105,596,95,Antagonist,64
106,544,101,Comic Relief,34
107,426,272,Supporting,21
108,228,9,Antagonist,93
109,226,77,Antagonist,22
110,436,25,Lead,13
111,651,46,Hero,86
112,110,95,Villain,7
113,492,109,Hero,72
114,961,288,Lead,110
115,79,73,Cameo,16
116,140,136,Villain,100
117,794,213,Antagonist,21
118,973,49,Lead,14
119,33,227,Protagonist,47
120,183,25,Antagonist,95
121,53,18,Love Interest,78
122,82,35,Love Interest,85
123,742,237,Supporting,46
124,517,15,Hero,107
125,381,64,Supporting,93
126,65,166,Lead,90
127,717,156,Supporting,26
128,847,83,Antagonist,12
129,860,39,Supporting,26
130,928,258,Mentor,104
131,784,170,Lead,71
132,187,203,Mentor,107
133,43,100,Love Interest,12
134,604,249,Villain,76
135,9,225,Love Interest,80
136,97,146,Love Interest,35
137,505,56,Love Interest,16
138,33,142,Antagonist,19
139,311,63,Protagonist,53
140,722,276,Hero,106
141,124,254,Antagonist,101
142,420,33,Lead,77
143,358,285,Villain,106
144,993,152,Hero,97
145,246,174,Love Interest,13
146,837,82,Mentor,47
147,897,117,Comic Relief,100
148,190,155,Mentor,83
149,633,29,Antagonist,28
150,784,118,Villain,98
151,677,158,Mentor,48
152,14,296,Supporting,119
153,496,282,Villain,50
154,749,216,Villain,87
155,387,139,Lead,85
156,959,189,Hero,47
157,519,283,Supporting,17
158,559,191,Antagonist,62
159,487,44,Mentor,7
160,454,232,Antagonist,65
161,437,222,Cameo,64
162,74,30,Comic Relief,18
163,969,18,Protagonist,27
164,797,17,Villain,7
165,485,106,Antagonist,34
166,576,200,Hero,23
167,880,257,Supporting,46
168,638,240,Hero,7
169,10,240,Hero,54
170,912,60,Comic Relief,82
171,1,32,Hero,45
172,252,134,Mentor,46
173,323,32,Mentor,43
174,989,269,Supporting,38
175,307,157,Villain,102
176,605,135,Protagonist,57
177,764,87,Comic Relief,56
178,179,213,Villain,81
179,916,177,Supporting,79
180,988,268,Supporting,96
181,845,117,Hero,117
182,946,120,Villain,40
183,937,156,Supporting,45
184,938,173,Cameo,78
185,759,82,Mentor,64
186,483,233,Supporting,29
187,379,274,Love Interest,82
188,988,211,Supporting,108
189,402,12,Lead,15
190,210,54,Supporting,36
191,842,253,Hero,61
192,70,277,Mentor,89
193,621,237,Hero,87
194,868,297,Cameo,78
195,875,124,Lead,78
196,59,231,Mentor,23
197,839,164,Hero,43
198,50,27,Love Interest,87
199,6,213,Cameo,86
200,340,14,Love Interest,103
201,279,210,Comic Relief,90
202,405,2,Antagonist,118
203,937,1,Comic Relief,71
204,581,14,Cameo,109
205,373,190,Cameo,115
206,518,267,Love Interest,63
207,203,236,Hero,38
208,27,227,Lead,38
209,905,59,Love Interest,8
210,178,138,Supporting,57
211,992,54,Mentor,62
212,140,98,Mentor,77
213,649,226,Villain,9
214,582,8,Antagonist,120
215,230,100,Lead,19
216,692,83,Antagonist,20
217,869,270,Comic Relief,41
218,459,11,Protagonist,72
219,382,163,Lead,26
220,210,43,Villain,104
221,461,151,Protagonist,112
222,501,62,Antagonist,53
223,367,27,Villain,110
224,485,51,Antagonist,99
225,725,16,Lead,66
226,263,285,Hero,33
227,913,262,Cameo,60
228,551,75,Lead,15
229,147,18,Cameo,96
230,808,56,Antagonist,108
231,147,208,Cameo,11
232,496,218,Mentor,78
233,374,253,Antagonist,91
234,474,54,Hero,60
235,907,230,Cameo,52
236,17,14,Comic Relief,113
237,610,239,Villain,59
238,351,264,Mentor,107
239,735,299,Protagonist,80
240,714,76,Villain,20
241,648,178,Supporting,19
242,9,286,Supporting,108
243,506,263,Villain,15
244,234,169,Mentor,14
245,929,31,Love Interest,93
246,202,210,Comic Relief,97
247,114,248,Comic Relief,51
248,520,260,Supporting,72
249,802,262,Villain,107
250,477,194,Lead,58
251,70,231,Supporting,21
252,975,182,Antagonist,93
253,57,231,Antagonist,74
254,272,294,Villain,83
255,120,246,Hero,25
256,857,215,Protagonist,12
257,803,281,Villain,39
258,954,140,Protagonist,31
259,282,32,Cameo,118
260,530,268,Antagonist,93
261,872,161,Love Interest,81
262,984,44,Lead,70
263,468,232,Supporting,67
264,322,224,Comic Relief,98
265,699,127,Antagonist,67
266,596,1,Villain,111
267,759,260,Supporting,73
268,435,267,Villain,25
269,63,5,Mentor,98
270,209,284,Comic Relief,47
271,910,149,Villain,61
272,4,55,Supporting,21
273,988,202,Love Interest,79
274,184,269,Love Interest,63
275,664,70,Cameo,38
276,586,228,Comic Relief,16
277,977,113,Protagonist,109
278,548,254,Mentor,87
279,698,196,Lead,17
280,228,53,Lead,96
281,640,274,Comic Relief,21
282,268,187,Villain,15
283,941,64,Antagonist,101
284,505,55,Hero,22
285,791,200,Antagonist,22
286,185,234,Supporting,93
287,10,207,Hero,38
288,420,217,Comic Relief,50
289,880,214,Antagonist,74
290,257,17,Protagonist,28
291,652,297,Supporting,87
292,64,111,Mentor,39
293,598,232,Villain,59
294,307,186,Comic Relief,68
295,1000,38,Cameo,110
296,81,83,Protagonist,82
297,566,229,Comic Relief,86
298,914,155,Supporting,46
299,361,243,Cameo,20
300,695,127,Supporting,94
301,637,43,Villain,79
302,388,270,Villain,107
303,606,25,Cameo,105
304,819,257,Cameo,78
305,463,222,Mentor,97
306,181,92,Lead,68
307,830,44,Supporting,32
308,970,188,Lead,109
309,658,117,Villain,57
310,423,266,Love Interest,41
311,839,148,Love Interest,23
