movie_id,title,genre,release_year,duration,language,country,budget,revenue,rating_average,director_id,production_company,age_limit,status,created_at
1,Sacred Promise,Comedy,1994,91,Hindi,Italy,2138101.52,6501960.08,5.6,53,Netflix,16,Production,2016-03-14 20:37:16
2,First Legacy,Sci-Fi,2023,122,Hindi,Spain,167948601.98,889658586.8,7.8,36,Universal,7,Production,2017-02-07 16:25:50
3,Silent Legacy,Crime,1990,71,Spanish,Spain,130895541.65,199671043.13,1.3,103,Lionsgate,18,Production,2024-01-25 05:40:31
4,Fallen Storm,Crime,2013,78,Hindi,India,184749400.72,323830024.45,9.6,71,Amazon Studios,12,Cancelled,2021-07-19 06:33:00
5,Hidden Night,Documentary,2015,159,Japanese,Germany,58760295.33,517458558.9,4.6,19,Focus Features,12,Production,2016-09-09 17:52:50
6,Broken Ocean,Romance,1995,187,Portuguese,USA,77717019.56,709811551.17,7.2,106,Netflix,18,Cancelled,2015-12-27 08:15:18
7,A Sun,Sci-Fi,1991,160,Portuguese,Japan,223973799.27,171231731.3,3.1,68,Paramount,7,Released,2018-10-12 04:49:06
8,A Night,Crime,1980,208,German,South Korea,147955943.12,807310095.9,5.3,131,Sony Pictures,16,Released,2024-03-02 16:51:27
9,Fallen Legacy,Sci-Fi,2023,187,Hindi,Spain,3021372.14,341547260.43,4.2,48,Focus Features,12,Released,2019-08-20 10:23:11
10,Fallen Dream,Adventure,2003,141,Portuguese,UK,205960567.69,648761831.93,5.9,51,Disney,7,Production,2015-03-14 15:08:57
11,Eternal Empire,Sci-Fi,1999,215,French,Brazil,65032463.82,755090640.87,7.6,93,Focus Features,18,Production,2020-01-14 03:22:55
12,Lost Journey,Fantasy,2014,142,Hindi,Spain,134355570.07,552336028.78,9.4,164,Netflix,16,Cancelled,2024-10-13 02:05:10
13,Silent Mountain,Crime,1997,171,German,South Korea,156520239.65,150669564.55,2.1,65,Universal,7,Released,2021-02-04 02:59:56
14,,Romance,1985,109,Italian,Japan,221409171.86,113857895.3,-2.0,84,A24,16,Cancelled,2019-09-15 04:44:34
15,Dark Promise,Crime,2016,206,Korean,Spain,241509975.99,329268411.42,14.3,35,Netflix,12,Production,2023-01-23 15:48:30
16,First Storm,Horror,1980,118,Hindi,Italy,49399213.85,350811970.54,3.3,62,Focus Features,18,Cancelled,2019-05-21 23:34:51
17,First Dream,Drama,1998,186,Japanese,Brazil,-2165375,-7863457,3.5,113,Warner Bros,7,Released,2017-01-16 06:21:26
18,First Kingdom,Animation,1982,107,Italian,France,54890319.71,225146511.93,1.1,183,Paramount,16,Production,2018-12-02 06:29:47
19,Sacred Shadow,Thriller,2023,152,English,Brazil,156517412.75,574704158.84,8.8,56,Universal,7,Cancelled,2021-06-01 05:50:17
20,Broken Shadow,,1982,191,Spanish,South Korea,74992315.79,617381584.92,9.5,16,Warner Bros,12,Cancelled,2017-12-18 03:08:31
21,Last Star,Crime,2008,75,Korean,Brazil,269649581.76,393806253.75,7.1,48,Focus Features,12,Production,2022-05-28 19:58:55
22,Golden Fire,Comedy,1996,deux heures,Hindi,Italy,264938245.57,327731269.87,3.8,138,Amazon Studios,7,Cancelled,2022-09-05 19:18:20
23,Rising Star,Documentary,1982,103,English,Germany,57889183.75,577612326.15,5.3,152,Sony Pictures,0,Production,2018-10-23 02:00:59
24,Infinite River,Drama,2020,212,Italian,South Korea,17960857.32,476165846.08,8.3,56,Focus Features,0,Released,2018-09-13 06:12:33
25,Lost Mountain,Comedy,2015,97,Portuguese,South Korea,210913849.65,93781746.81,5.8,169,Disney,18,Cancelled,2022-06-11 17:20:54
26,Silent Dream,Romance,2000,214,Italian,India,76599693.59,402805060.12,7.4,153,Warner Bros,18,Released,2019-01-10 07:13:54
27,Silent Storm,Adventure,2015,216,Spanish,France,107018898.11,330437895.43,3.1,24,Lionsgate,16,Cancelled,2018-12-03 23:20:50
28,Fallen Fire,Adventure,1986,-45,Portuguese,Italy,17248851.29,313202393.24,4.7,198,Paramount,18,Released,2021-01-10 16:02:20
29,Golden Promise,Documentary,1989,170,Portuguese,Canada,67014645.63,354950731.25,1.7,13,Focus Features,16,Production,2016-07-17 13:49:44
30,Dark Dawn,Thriller,2021,213,Hindi,Germany,80243998.66,616295701.32,2.0,94,Netflix,7,Production,2020-10-21 00:49:19
31,Dark Moon,Animation,2008,129,Korean,UK,255902861.48,49178758.22,9.2,74,Warner Bros,12,Cancelled,2016-05-15 15:01:21
32,Last Legacy,Documentary,1996,106,English,Italy,199226738.43,153370650.38,7.9,14,A24,0,Released,2021-11-09 21:54:58
33,Lost Moon,Action,2021,167,French,South Korea,179333369.36,179067792.49,5.9,11,Paramount,18,Production,2020-08-13 23:10:01
34,Silent Moon,Horror,2012,85,Italian,USA,284760367.3,307673358.95,2.2,134,Lionsgate,7,Production,2018-10-05 13:19:58
35,Broken Star,Comedy,1988,121,Japanese,Brazil,157379742.31,896117651.63,2.3,41,Netflix,0,Cancelled,2023-12-04 05:20:53
36,Infinite Dawn,Sci-Fi,2006,147,Japanese,UK,32478044.14,686226490.61,3.3,60,Lionsgate,7,Released,2015-06-03 22:49:30
37,Dark Empire,Animation,2003,169,Spanish,UK,10152751.19,13611332.98,4.6,52,Paramount,0,Released,2022-10-16 22:20:55
38,Fallen Mountain,Action,2004,170,Portuguese,Canada,192597450.43,34756924.53,5.0,63,Focus Features,18,Production,2015-09-13 16:48:40
39,The River,Romance,1998,178,English,Brazil,43100765.82,406583109.24,2.0,179,Focus Features,7,Production,2021-06-15 00:11:29
40,Broken River,Drama,2024,111,French,France,135094826.2,471483193.73,8.0,41,Amazon Studios,18,Production,2015-03-11 18:55:42
41,Eternal Dawn,Comedy,1983,149,German,Japan,35707416.53,182646249.58,3.2,128,Focus Features,0,Cancelled,2022-04-07 18:42:30
42,Fallen Dream 453,,2015,212,Arabic,USA,16991649.43,130922437.15,6.1,85,Universal,0,Released,2021-03-06 21:18:39
43,Lost Journey 587,Comedy,2017,79,Japanese,South Korea,113992335.8,384648723.07,3.6,178,Sony Pictures,12,Cancelled,2021-09-07 22:13:39
44,The Shadow,Crime,1985,143,Korean,Japan,298509788.5,116828852.49,5.6,127,Disney,18,Released,2019-04-01 03:01:29
45,Lost Shadow,Thriller,2006,155,Arabic,USA,207160109.93,61145673.47,5.8,30,Netflix,12,Production,2024-10-01 05:12:21
46,Eternal Star,Animation,1982,193,German,India,139009787.57,835018200.09,5.6,174,Netflix,18,Cancelled,2015-04-19 21:21:51
47,Infinite Moon,Comedy,1981,166,Spanish,Canada,56619983.59,704131308.99,8.5,70,Amazon Studios,0,Production,2018-06-15 09:13:33
48,First Fire,Action,1985,76,Hindi,UK,277129211.98,471312802.56,2.3,133,Disney,7,Cancelled,2015-08-13 22:55:33
49,A Storm,Action,2018,155,English,France,197865793.86,519846094.99,8.9,50,Sony Pictures,12,Cancelled,2020-08-22 03:17:09
50,Dark Ocean,Fantasy,1986,159,Japanese,UK,241298850.12,154230350.43,8.9,13,Disney,0,Production,2015-02-13 01:05:27
51,Rising Fire,Fantasy,2024,161,Arabic,Brazil,242885297.03,830513313.83,6.0,179,A24,0,Production,2019-11-21 22:49:29
52,Fallen Mountain 971,Fantasy,2003,154,Korean,Spain,20076877.05,430839012.03,3.5,148,Disney,18,Released,2021-12-26 03:20:35
53,Lost Night,Documentary,2017,132,German,Italy,62867324.67,388090533.03,6.0,178,Paramount,7,Cancelled,2016-12-23 18:53:31
54,A Promise,Sci-Fi,2008,173,French,Australia,231517341.97,444916203.14,1.8,149,Warner Bros,7,Cancelled,2017-08-18 09:24:39
55,Broken Vision,Crime,1999,147,Italian,Brazil,103607255.62,7406515.24,4.6,76,Warner Bros,12,Cancelled,2015-01-23 17:52:22
56,A Sky,Thriller,2017,151,Italian,Italy,63759214.37,125248072.23,8.4,107,Disney,12,Cancelled,2017-03-01 02:41:01
57,Dark Kingdom,Comedy,2021,186,Portuguese,Italy,136591110.58,738082275.28,3.0,2,Lionsgate,16,Cancelled,2018-12-17 08:26:59
58,Golden Promise 376,Action,2003,193,French,UK,158159212.12,675548929.94,5.5,157,Universal,7,Production,2016-11-21 17:51:37
59,First Journey,Sci-Fi,1980,201,Portuguese,Brazil,106197905.23,265226689.26,7.1,78,Lionsgate,12,Released,2022-10-06 18:03:42
60,First Journey 28,Drama,1984,141,Portuguese,Japan,77458238.32,543479003.57,7.5,95,Disney,12,Cancelled,2018-08-06 16:55:02
61,Silent Night,Fantasy,1989,175,Arabic,Australia,191453612.62,660951563.73,6.7,30,Warner Bros,7,Production,2021-08-10 15:47:48
62,Infinite Legacy,Crime,2010,205,English,Japan,134921776.77,865590274.25,1.4,164,Netflix,16,Cancelled,2019-06-09 08:51:06
63,First Promise,Crime,2023,119,Spanish,South Korea,202004156.99,10864073.78,1.9,57,Sony Pictures,12,Released,2015-01-20 02:03:38
64,Lost River,Crime,1987,103,Portuguese,UK,208848263.28,420313324.0,6.6,71,Amazon Studios,12,Production,2017-02-09 01:24:24
