rating_id,movie_id,user_id,rating_value,review,review_date,likes,dislikes,watch_completed,device_used,watch_duration,favorite_scene,recommendation,created_at
1,146,13,9.0,"Great movie, a must-see.",2022-12-13,1209,454,False,Laptop,137,Emotional breakdown,False,2022-12-15 17:44:14
2,855,415,3.1,"Great movie, a must-see.",2021-02-01,4737,349,False,Mobile,148,Monologue,False,2023-09-15 16:58:11
3,805,451,5.8,"Great movie, loved it.",2022-08-06,4175,124,False,Laptop,60,Opening scene,True,2024-10-18 13:52:23
4,647,330,6.3,"Great movie, not my type.",2020-08-25,2394,174,False,Desktop,181,Emotional breakdown,False,2023-01-07 05:28:06
5,962,274,8.3,"Great movie, not my type.",2022-01-26,4749,282,True,Console,43,Opening scene,False,2022-11-05 01:16:25
6,813,458,6.3,"Great movie, a must-see.",2021-10-01,3267,422,False,Laptop,74,Flashback,False,2021-10-06 01:09:19
7,645,407,3.3,"Disappointing movie, meh.",2023-04-21,829,293,False,Mobile,148,Final scene,True,2020-02-06 01:48:12
8,776,204,5.4,"Great movie, meh.",2020-12-13,2069,475,True,Tablet,31,Reunion,False,2023-05-16 02:01:31
9,712,294,3.0,"Great movie, a must-see.",2021-12-23,204,278,True,Mobile,185,Plot twist,True,2020-02-24 12:05:40
10,887,269,3.0,"Disappointing movie, loved it.",2020-01-27,4032,151,True,Console,108,Reunion,False,2021-01-18 12:01:51
11,304,76,6.0,"Disappointing movie, not my type.",2021-04-05,2463,195,False,Smart TV,131,Final battle,True,2023-01-26 12:03:27
12,466,492,6.8,"Great movie, loved it.",2024-03-03,2094,62,True,Mobile,25,Flashback,True,2024-01-17 21:16:30
13,636,415,9.5,"Disappointing movie, highly recommend.",2020-08-02,2824,392,False,Smart TV,129,Reunion,False,2024-11-12 14:48:23
14,461,304,1.2,"Great movie, not my type.",2023-12-11,4825,384,False,Tablet,164,Final battle,True,2024-10-23 19:37:53
15,641,112,7.7,"Great movie, loved it.",2023-06-06,1779,394,True,Laptop,11,Chase scene,False,2021-04-09 06:01:16
16,627,419,-1.7,"Disappointing movie, highly recommend.",2021-07-25,3838,178,False,Smart TV,124,Emotional breakdown,True,2024-07-26 09:50:45
17,92,486,4.8,"Great movie, highly recommend.",2023-03-27,1657,26,True,Smart TV,139,Climax,True,2023-03-13 07:43:15
18,887,15,5.9,"Great movie, meh.",2022-09-27,106,274,False,Console,30,Final battle,True,2022-09-01 09:19:44
19,901,119,1.5,"Great movie, not my type.",2023-03-03,818,68,False,Mobile,189,Reunion,True,2020-10-17 03:54:42
20,894,233,10.0,"Great movie, a must-see.",2021-02-11,1247,477,False,Tablet,61,Flashback,True,2020-01-15 00:59:25
21,547,211,5.7,"Great movie, meh.",2022-02-10,3872,453,True,Smart TV,165,Chase scene,False,2024-10-11 06:40:29
22,299,96,4.1,"Great movie, not my type.",2024-10-27,4666,327,False,Console,133,Plot twist,False,2020-07-21 12:02:14
23,743,83,9.8,"Great movie, meh.",2020-02-09,139,451,False,Console,175,Opening scene,False,2020-06-21 03:39:39
24,969,195,7.6,"Disappointing movie, worth watching.",2020-11-10,3994,466,False,Desktop,96,Final scene,False,2020-12-03 11:40:41
25,624,362,4.1,"Great movie, worth watching.",2024-05-03,3223,64,True,Tablet,57,Monologue,True,2022-12-23 23:26:25
26,55,339,8.5,"Disappointing movie, loved it.",2024-01-12,686,327,True,Smart TV,61,Chase scene,True,2023-04-11 13:33:03
27,710,478,5.7,"Great movie, worth watching.",2022-08-05,2414,461,False,Mobile,190,Reunion,False,2023-03-04 17:31:47
28,298,124,1.2,"Great movie, worth watching.",2024-11-07,1147,200,True,Console,87,Monologue,False,2020-10-24 20:11:37
29,869,172,1.9,"Great movie, loved it.",2020-09-10,2854,135,True,Tablet,45,Flashback,False,2021-04-04 05:21:33
30,99,67,7.0,"Great movie, not my type.",2023-07-08,2178,3,False,Mobile,169,Flashback,False,2022-08-14 10:45:11
31,871,394,2.2,"Great movie, loved it.",2022-02-14,4855,91,True,Tablet,104,Final battle,False,2020-04-12 22:42:09
32,645,284,3.7,"Great movie, meh.",2022-01-21,188,181,False,Smart TV,184,Emotional breakdown,True,2023-07-14 09:34:29
